Link Text,URL
Skip to content,#site-content
Skip to site index,#site-index
SKIP ADVERTISEMENT,#after-dfp-ad-top
Skip to content,#site-content
Skip to site index,#site-index
,/
U.S.,/
International,/international/
Canada,/ca/
Español,https://www.nytimes.com/es/
中文,https://cn.nytimes.com
Today’s Paper,https://www.nytimes.com/section/todayspaper
,/
U.S.,https://www.nytimes.com/international/section/us
U.S.,https://www.nytimes.com/international/section/us
Politics,https://www.nytimes.com/international/section/politics
New York,https://www.nytimes.com/international/section/nyregion
California,https://www.nytimes.com/column/california-today
Education,https://www.nytimes.com/international/section/education
Health,https://www.nytimes.com/international/section/health
Obituaries,https://www.nytimes.com/international/section/obituaries
Science,https://www.nytimes.com/international/section/science
Climate,https://www.nytimes.com/international/section/climate
Sports,https://www.nytimes.com/international/section/sports
Business,https://www.nytimes.com/international/section/business
Tech,https://www.nytimes.com/international/section/technology
The Upshot,https://www.nytimes.com/international/section/upshot
The Magazine,https://www.nytimes.com/international/section/magazine
2024 Elections,https://www.nytimes.com/news-event/2024-election
Supreme Court,https://www.nytimes.com/topic/organization/us-supreme-court
Congress,https://www.nytimes.com/topic/organization/us-congress
Biden Administration,https://www.nytimes.com/spotlight/joe-biden
Trump Civil Fraud Trial,https://www.nytimes.com/news-event/trump-attorney-general-ny-inquiry
Trump Investigations,https://www.nytimes.com/news-event/donald-trump-investigations
Abortion in the U.S.,https://www.nytimes.com/spotlight/abortion-news
The MorningMake sense of the day’s news and ideas.,https://www.nytimes.com/newsletters/morning-briefing
"The UpshotAnalysis that explains politics, policy and everyday life.",https://www.nytimes.com/newsletters/upshot
See all newsletters,https://www.nytimes.com/newsletters
"The DailyThe biggest stories of our time, in 20 minutes a day.",https://www.nytimes.com/column/the-daily
The Run-UpOn the campaign trail with Astead Herndon.,https://www.nytimes.com/column/election-run-up-podcast
See all podcasts,https://www.nytimes.com/spotlight/podcasts
World,https://www.nytimes.com/international/section/world
World,https://www.nytimes.com/international/section/world
Africa,https://www.nytimes.com/international/section/world/africa
Americas,https://www.nytimes.com/international/section/world/americas
Asia,https://www.nytimes.com/international/section/world/asia
Australia,https://www.nytimes.com/international/section/world/australia
Canada,https://www.nytimes.com/international/section/world/canada
Europe,https://www.nytimes.com/international/section/world/europe
Middle East,https://www.nytimes.com/international/section/world/middleeast
Science,https://www.nytimes.com/international/section/science
Climate,https://www.nytimes.com/international/section/climate
Health,https://www.nytimes.com/international/section/health
Obituaries,https://www.nytimes.com/international/section/obituaries
Israel-Hamas War,https://www.nytimes.com/news-event/israel-hamas-gaza
Russia-Ukraine War,https://www.nytimes.com/news-event/ukraine-russia
Morning Briefing: EuropeGet what you need to know to start your day.,https://www.nytimes.com/newsletters/morning-briefing-europe
The InterpreterOriginal analysis on the week’s biggest global stories.,https://www.nytimes.com/newsletters/the-interpreter
"Australia LetterNews, features and opinion for readers in the region.",https://www.nytimes.com/newsletters/australia-letter
Canada LetterBackstories and analysis from our Canadian correspondents.,https://www.nytimes.com/newsletters/canada-letter
See all newsletters,https://www.nytimes.com/newsletters
Business,https://www.nytimes.com/international/section/business
Business,https://www.nytimes.com/international/section/business
Tech,https://www.nytimes.com/international/section/technology
Economy,https://www.nytimes.com/international/section/business/economy
Media,https://www.nytimes.com/international/section/business/media
Finance and Markets,https://www.nytimes.com/section/markets-overview
